Name	dateid01	cip_jp	cip_uk	cip_us_ca	cip_us_swe	corp_aaa_baa_us	cross_stock_us_ca	cross_stock_us_de	cross_stock_us_jp	cross_stock_us_uk	debt_equity_us	diff_debt_equity_us	diff_lenddepo_us	diff_liquidity_us	diff_m1_liquidity_us	diff_mortgageloan_us1	fin_allmarket_us1	gov10y_1y_us	gov20y_10y_us	gov20y_1y_us	gq_gdp_us	gq_gdp_w	gr12lcpi_us	gr12lip_us_sa	gr12ly_us_sa	gy_gdp_us	gy_gdp_w	i3m_us	inf_us	inf_usf	ip_us	ipus_yus	lcpi_ppi_us	lending_deposit_us	lgdp_us_w_sa	lip_sa_us	lip_us	lip_us_sa	lip_y_us_sa	liquidity_us	lrate_drate_us	lti	ly_us	ly_us_sa	m1_liquidity_us	mort_corp_us	mortgage_loan_us1	mrate_tbill_us	refer_us	sti	target	tbill_6m_3m_us	ted1y_us	ump_us	y_q	y_us	y_y	ys_q	ys_y	yus_yworld
Display_name																					quarterly growth US GDP seasonally adjusted not logged	quarterly growth world GDP seasonally adjusted not logged				annual grwoth USD GDP seasonally adjusted not logged	annual growth World GDP seasonally adjusted not logged																												quarterly growth US GDP seasonally adjusted and logged		annual growth US GDP seasonally adjusted and logged	quarterly world GDP growth seasonally adjusted and logged	annual growth world GDP seasonally adjusted and logged	
	1979-12-01	NA	0.8209894	1.2826318740844726	4.510689	-1.32	8.3739329999999984	0.20289473235607148	0.23485128581523896	13.16341495513916	11.7104	NA	NA	NA	NA	NA	NA	-0.69	-1.73	-2.42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7996615	NA	4.035047392	4.025833717	4.03948447841958	NA	0.2968639	-1.76	NA	NA	NA	0.00028528436087071896	2.16	0.27849265933036804	2.46	104.54	NA	NA	-2.85	-4.30	5.7	NA	NA	NA	NA	NA	NA
	1980-01-01	NA	1.7288966178894042	0.66	3.705618	-1.33	8.211127	0.2139777	0.24616174399852752	13.464327812194824	11.826257705688476	0.1158577	0.0055294	-0.002111034	3.6788114812225104e-06	0.0023346405941993	NA	-0.95	-1.68	-2.63	NA	NA	NA	NA	NA	NA	NA	14.34	13.9	13.9	1.081081	1.34589390828422	-0.25538878200000032	0.8051909	0.0043173238564699904	4.040643107	4.028032024	4.0350485979876904	1.34589390828422	0.29475286602973936	-2.63	10.80	2.688313049	2.68915468970347	0.00028896317235194148	1.79	0.2808273	2.34	104.39	14.34	0.055052295	-2.55	-4.58	6.9	NA	3.8820443153381344	NA	NA	NA	0.062065997
	1980-02-01	NA	1.135118842124939	6.58	5.444962	-1.19	7.84403	0.2122106	0.2428995817899704	12.408296585083008	11.575986862182618	-0.25027084350585936	0.0005748	0.0004068613	1.1454103514552116e-06	0.0018331	NA	-1.51	-1.17	-2.68	NA	NA	NA	NA	NA	NA	NA	15.22	14.2	14.2	0.1754386	1.3483915606215002	-0.2623406730000002	0.8057657	0.0008724923019700624	4.041416599	4.048232559	4.03727968169	1.3483915606215	0.2951597273349762	-2.56	12.41	2.689086541	2.6888881210685	0.00029010858270339668	0.66	0.28266039999999996	2.36	105.22	15.22	0.056049454	-2.73	-1.78	6.8	NA	2.1038434505462648	NA	NA	NA	0.061204831
	1980-03-01	NA	-1.8982352018356324	7.342878	7.000326	-1.49	7.816998481750488	0.2016393393278122	0.22464023530483244	11.561721801757812	11.06858	-0.5074069	0.0020776	-0.0031268273014575244	-1.7154826537080226e-06	-0.0001316	NA	-2.14	-1.14	-3.28	NA	NA	NA	NA	NA	NA	NA	18.71	14.8	14.8	-0.6944444	1.3528398471697298	-0.2545715469999998	0.8078433	0.0001451630964699468	4.038470617	4.049769004	4.0384274658871896	1.35283984716973	0.2920329	-0.25	12.75	2.686140559	2.68558761871746	0.0002883931	2.32	0.28252880000000004	3.51	109.08	18.71	0.055872789	-3.86	-2.24	6.6	NA	-1.674078345298767	NA	NA	NA	0.065148604
	1980-04-01	NA	-2.5163075923919676	-1.5	7.333036	-2.15	7.559744	0.20894436538219452	0.22720763087272644	12.161327362060546	11.20921	0.14063	-0.0088062	0.0011030707973986864	-6.306959e-06	0.001909482292830944	NA	-1.74	-2.02	-3.76	-0.535933471	1.706674934	NA	NA	NA	NA	NA	17.86	14.7	14.7	-0.8960574	1.33480947727156	-0.246806882	0.7990371	-0.02392918736093996	4.018388216	4.0146012539999992	4.01791652652034	1.33480947727156	0.29313597083091736	2.65	11.47	2.687830486	2.68310704924878	0.00028208614094182848	4.28	0.28443828225135804	4.66	110.19	17.86	0.037871734	-1.34	-4.24	6.7	0.992382347	-0.3413279354572296	NA	1.56437936	NA	0.055549588
	1980-05-01	NA	3.969813	-6	-1.64016	-2.18	7.416	0.22346772253513336	0.23792107403278352	12.569491386413574	11.33269214630127	0.12348214536905288	-0.0029438	0.002564788	1.198959e-06	0.003760636	NA	-1.59	-2.80	-4.39	1.409911043	3.696392249	NA	NA	NA	NA	NA	11.25	14.4	14.4	-5.1146383285522464	1.3321525137050498	-0.2422712999999996	0.7960933	-0.01827233892171964	3.993678566	3.98702101	3.9979165153403296	1.33215251370505	0.2957007586956024	-0.49	10.18	2.663120835	2.66576400163528	0.0002832851	3.27	0.28819891810417176	2.67	105.38	11.25	0.027713933	3.27	-1.61	7.1	2.968125748	-1.3461544513702392	NA	3.551312905	NA	0.055850492
	1980-06-01	NA	5.8459215164184568	-5.522504	-2.7388105392456056	-2.13	6.812165	0.2266666740179062	0.2416397	12.310344696044922	11.779698371887208	0.4470062	-0.0076608	0.0005165413	3.675255e-07	0.0009165108	NA	-1.26	-3.17	-4.43	-6.65248729	-4.547788338	NA	NA	NA	NA	NA	9.40	14.4	14.4	-6.4124784469604496	1.3318137520807402	-0.236590074	0.7884325	-0.01943420877001012	3.980927606	3.992077405	3.98366394167388	1.33181375208074	0.2962173	-4.49	9.78	2.650369876	2.65185018959314	0.00028365262551233172	2.13	0.28911542892456056	2.33	103.49	9.40	0.026637489	4.7699999999999992	-1.83	7.8	-5.218155423	-0.7129514	NA	-4.6813334299999992	NA	0.054722857
	1980-07-01	NA	4.6649155616760256	-1.48	-4.441209	-1.58	6.710976	0.23330776393413544	0.25837758183479308	12.19138240814209	12.11146354675293	0.33176517486572264	-0.0010844	0.0026351	1.6066187527030706e-06	0.0008719711	NA	-1.51	-4.28	-5.79	-2.628711512	-1.775248967	NA	NA	NA	NA	NA	9.31	13.1	13.1	-6.181818	1.3091719972841802	-0.25369494400000032	0.7873481	-0.027803314183620032	3.974655962	3.946300753	3.96586828074668	1.30917199728418	0.2988524	-4.40	10.25	2.660188967	2.6566962834625	0.0002852592442650348	1.12	0.2899874	1.25	102.41	9.31	0.016299684	4.66	-2.05	7.9	-2.507664099	0.07986041	NA	-2.2847230930000004	NA	0.051333209
	1980-08-01	NA	4.122883319854736	1.1725037097930908	-1.5166451930999756	-1.51	8.229993	0.25753366947174072	0.2557255	12.18924331665039	12.081575393676758	-0.029888153076171876	0.0032639	-0.00407447	1.437933e-06	-0.0012430398492142558	NA	-3.07	-4.08	-7.15	-2.718791065	-1.866118071	NA	NA	NA	NA	NA	10.84	12.9	12.9	-4.4883303642272952	1.3115746048254798	-0.25975345099999992	0.790612	-0.028929684998319612	3.977136361	3.97732561	3.97484157097706	1.31157460482548	0.29477792978286744	-5.76	11.10	2.662669366	2.6632669661515804	0.00028669717721641064	0.92	0.28874436020851136	1.71	103.55	10.84	0.013266889	5.91	-0.24	7.6	-2.597855635	-2.17932	NA	-2.375120876	NA	0.051563527
